input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\subtitles.png,350,78,33.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\synopsis.png,350,68,29.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\en\technical.png,350,74,34.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\audio.png,350,76,29.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\information.png,350,83,35.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\metadata.png,350,73,30.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\release.png,350,84,35.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\subtitles.png,350,75,34.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\synopsis.png,350,67,27.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\es\technical.png,350,71,31.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\audio.png,350,65,26.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\information.png,350,67,29.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\metadata.png,350,66,30.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\release.png,350,66,28.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\subtitles.png,350,66,29.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\synopsis.png,350,67,29.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\digital-blue\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\digital-blue\fr\technical.png,350,67,32.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\audio.png,350,69,33.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\information.png,350,70,36.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\metadata.png,350,72,36.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\release.png,350,70,34.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\subtitles.png,350,80,39.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\synopsis.png,350,70,35.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\en\technical.png,350,69,35.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\audio.png,350,68,32.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\information.png,350,72,36.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\metadata.png,350,80,38.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\release.png,350,70,34.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\subtitles.png,350,73,37.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\synopsis.png,350,70,34.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\es\technical.png,350,69,35.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\audio.png,350,83,39.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\information.png,350,75,36.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\metadata.png,350,69,35.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\release.png,350,86,42.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\subtitles.png,350,69,34.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\synopsis.png,350,78,38.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\military-green\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\military-green\fr\technical.png,350,72,37.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\audio.png,350,46,16.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\information.png,350,48,18.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\metadata.png,350,50,20.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\release.png,350,48,17.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\subtitles.png,350,49,17.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\synopsis.png,350,49,18.4,50,0.5,8,
